,Rank (Borda),Model,Memory Usage (MB),Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Public),Mean (Private),Mean (Task)
0,1,[voyage-3-large](https://blog.voyageai.com/2025/01/07/voyage-3-large/),Unknown,Unknown,1024,32000,84.66,76.76,80.15
1,2,[voyage-3.5](https://blog.voyageai.com/2025/05/20/voyage-3-5/),Unknown,Unknown,1024,32000,82.67,76.2,78.98
2,3,[voyage-3.5 (output_dtype=int8)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),Unknown,Unknown,1024,32000,82.67,76.05,78.89
3,4,[gemini-embedding-001](https://ai.google.dev/gemini-api/docs/embeddings),Unknown,Unknown,3072,2048,77.93,70.4,73.63
4,5,[voyage-3.5 (output_dtype=binary)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),Unknown,Unknown,1024,32000,77.76,71.51,74.19
5,6,[Qwen3-Embedding-8B](https://huggingface.co/Qwen/Qwen3-Embedding-8B),28866,7B,4096,32768,72.7,68.44,70.27
6,7,[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2),14975,7B,4096,32768,71.47,69.36,70.26
7,8,[text-embedding-004](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),Unknown,Unknown,768,2048,72.92,66.47,69.24
8,9,[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B),13813,7B,4096,32768,71.32,66.51,68.57
9,9,[Cohere-embed-v4.0 (output_dtype=int8)](https://docs.cohere.com/docs/embeddings),Unknown,Unknown,1536,128000,75.18,67.68,70.9
10,11,[Cohere-embed-v4.0](https://docs.cohere.com/docs/cohere-embed),Unknown,Unknown,1536,128000,75.0,67.51,70.72
11,12,[jina-embeddings-v4](https://huggingface.co/jinaai/jina-embeddings-v4),7500,3B,2048,32768,70.6,67.9,69.06
12,12,[text-embedding-005](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),Unknown,Unknown,768,2048,71.93,66.01,68.55
13,14,[Cohere-embed-v4.0 (output_dtype=binary)](https://docs.cohere.com/docs/embeddings),Unknown,Unknown,1536,128000,71.94,64.88,67.9
14,15,[text-embedding-3-large](https://openai.com/index/new-embedding-models-and-api-updates/),Unknown,Unknown,3072,8191,67.75,63.25,65.18
15,16,[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0),2166,568M,1024,8192,62.22,61.34,61.72
16,17,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),13563,7B,4096,32768,50.95,61.82,57.16
17,18,[text-embedding-3-small](https://openai.com/index/new-embedding-models-and-api-updates/),Unknown,Unknown,1536,8191,60.78,57.43,58.87
18,19,[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct),1068,560M,1024,514,58.65,58.31,58.45
19,20,[gte-base-en-v1.5](https://huggingface.co/Alibaba-NLP/gte-base-en-v1.5),Unknown,137M,768,8192,58.67,59.3,59.03
20,21,[bge-large-en-v1.5](https://huggingface.co/BAAI/bge-large-en-v1.5),1242,335M,1024,512,58.22,57.44,57.78
21,22,[bge-m3](https://huggingface.co/BAAI/bge-m3),2167,568M,1024,8194,57.66,59.77,58.86
22,23,[bge-m3-unsupervised](https://huggingface.co/BAAI/bge-m3-unsupervised),2167,568M,1024,8192,56.31,57.02,56.72
23,24,[mxbai-embed-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1),639,335M,1024,512,57.39,57.2,57.28
24,25,[UAE-Large-V1](https://huggingface.co/WhereIsAI/UAE-Large-V1),1278,335M,1024,512,57.48,56.73,57.05
