,Model,AppsRetrieval,Code1Retrieval,DS1000Retrieval,FreshStackRetrieval,HumanEvalRetrieval,JapaneseCode1Retrieval,MBPPRetrieval,WikiSQLRetrieval
0,voyage-3-large,94.634,94.47,68.971,44.379000000000005,99.45,84.973,93.95700000000001,93.747
1,gemini-embedding-001,93.75099999999999,94.742,68.703,39.791,99.1,86.497,94.16,88.142
2,voyage-3.5,83.881,93.448,65.45400000000001,43.114000000000004,98.832,80.276,90.05499999999999,93.488
3,voyage-3.5 (output_dtype=int8),83.853,93.44200000000001,65.545,43.036,99.299,80.193,90.28399999999999,93.403
4,Qwen3-Embedding-8B,91.071,93.798,67.61200000000001,43.017,99.21600000000001,78.771,92.074,84.855
5,Cohere-embed-v4.0 (output_dtype=int8),49.758,93.716,63.65,37.175999999999995,97.09100000000001,81.147,91.269,90.93299999999999
6,Cohere-embed-v4.0,49.655,93.71199999999999,63.839,37.122,97.09100000000001,81.00699999999999,91.213,90.905
7,voyage-3.5 (output_dtype=binary),79.768,91.852,61.157,36.3,97.605,76.03,88.165,89.24
8,Cohere-embed-v4.0 (output_dtype=binary),42.788,92.5,60.048,34.573,96.11,78.556,90.362,89.05
9,jina-embeddings-v4,78.32000000000001,89.742,64.096,27.51,97.206,77.537,89.869,96.084
10,GritLM-7B,35.134,91.391,61.41,33.418,95.27,78.295,86.26,92.566
11,NV-Embed-v2,29.051,92.189,61.668,30.518,95.369,79.816,89.807,74.786
12,text-embedding-3-large,28.464,92.537,59.358,32.784,92.771,75.14699999999999,85.70400000000001,83.517
13,text-embedding-005,91.27199999999999,80.959,64.979,33.503,98.282,35.768,87.20700000000001,69.24900000000001
14,Cohere-embed-multilingual-v3.0,31.911,86.88,50.21099999999999,28.581,81.559,64.095,78.019,85.35000000000001
15,multilingual-e5-large-instruct,34.894,88.915,49.4,27.589999999999996,86.347,69.852,83.554,80.685
16,text-embedding-004,14.817,91.11200000000001,55.281000000000006,36.896,87.315,36.983,86.093,76.216
17,text-embedding-3-small,16.977,89.901,50.800999999999995,29.582000000000004,83.686,60.118,76.961,81.94900000000001
18,gte-multilingual-base,11.979,88.31099999999999,39.22,30.906,75.106,57.409,80.262,84.828
19,e5-mistral-7b-instruct,23.461000000000002,91.606,44.678000000000004,33.696,64.955,74.695,75.205,52.544000000000004
20,Cohere-embed-english-v3.0,13.719999999999999,81.626,45.049,28.701,77.988,38.474000000000004,74.455,83.176
21,bge-m3,14.735999999999999,77.74,41.902,27.154,61.253,60.431000000000004,69.972,88.28
22,all-mpnet-base-v2,8.407,84.95,38.391,27.023999999999997,75.81400000000001,27.776,79.47800000000001,76.673
23,bge-large-en-v1.5,7.574,79.057,35.968,27.998,67.522,34.897,78.018,77.878
24,multilingual-e5-small,12.014,81.384,44.678000000000004,21.391,64.955,58.631,75.205,52.544000000000004
25,bge-m3-unsupervised,12.135,78.16199999999999,40.794999999999995,25.324999999999996,63.403,56.111,70.108,74.947
26,bge-base-en-v1.5,6.451999999999999,80.074,40.513,26.069,67.035,35.091,76.103,79.522
27,english_code_retriever,8.041,75.362,32.416,18.302,71.82300000000001,46.589999999999996,72.065,87.91600000000001
28,all-MiniLM-L12-v2,5.971,83.576,25.999,20.613999999999997,70.135,33.603,75.967,90.362
29,UAE-Large-V1,6.612,79.606,29.918,27.761999999999997,66.687,32.952999999999996,76.352,74.28
30,gte-base-en-v1.5,5.332,79.725,37.264,29.956,57.52,22.192999999999998,71.745,83.756
31,bge-large-en,6.283999999999999,78.027,34.349000000000004,27.543,60.11,34.333000000000006,75.295,60.902
32,all-MiniLM-L6-v2,6.596,80.025,34.508,22.842000000000002,65.32900000000001,26.343,74.59599999999999,67.412
33,mxbai-embed-large-v1,6.047000000000001,77.28,28.260999999999996,28.238999999999997,66.634,29.698999999999998,76.903,66.751
34,bge-small-en-v1.5,5.638,77.742,34.833999999999996,25.130999999999997,61.327,32.129000000000005,74.27,65.412
35,snowflake-arctic-embed-l-v2.0,9.699,87.64999999999999,42.663000000000004,,71.531,64.242,80.23,69.711
36,bge-base-en,3.25,78.38300000000001,34.927,24.867,59.516000000000005,33.147,73.481,62.867
37,multi-qa-MiniLM-L6-cos-v1,4.816,74.70700000000001,31.623,24.451,57.785,19.766000000000002,70.07900000000001,70.49499999999999
