,Rank (Borda),Model,Memory Usage (MB),Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Public),Mean (Private),Mean (Task)
0,1,[voyage-3-large](https://blog.voyageai.com/2025/01/07/voyage-3-large/),Unknown,Unknown,1024,32000,57.9,86.68,65.1
1,2,[gemini-embedding-001](https://ai.google.dev/gemini-api/docs/embeddings),Unknown,Unknown,3072,2048,56.11,92.28,65.15
2,3,[voyage-3.5](https://blog.voyageai.com/2025/05/20/voyage-3-5/),Unknown,Unknown,1024,32000,55.64,86.53,63.36
3,4,[Qwen3-Embedding-8B](https://huggingface.co/Qwen/Qwen3-Embedding-8B),28866,7B,4096,32768,67.38,80.38,70.63
4,5,[voyage-3.5 (output_dtype=int8)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),Unknown,Unknown,1024,32000,55.36,86.51,63.15
5,6,[voyage-3.5 (output_dtype=binary)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),Unknown,Unknown,1024,32000,51.67,81.71,59.18
6,7,[text-embedding-3-large](https://openai.com/index/new-embedding-models-and-api-updates/),Unknown,Unknown,3072,8191,51.32,53.75,51.93
7,8,[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B),13813,7B,4096,32768,49.25,84.68,58.1
8,9,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),13563,7B,4096,32768,47.35,83.04,56.27
9,10,[jina-embeddings-v4](https://huggingface.co/jinaai/jina-embeddings-v4),7500,3B,2048,32768,51.76,80.25,58.88
10,11,[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base),582,305M,768,8192,44.46,75.79,52.29
11,11,[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct),1068,560M,1024,514,43.68,82.02,53.27
12,13,[text-embedding-3-small](https://openai.com/index/new-embedding-models-and-api-updates/),Unknown,Unknown,1536,8191,44.19,54.8,46.84
13,14,[snowflake-arctic-embed-m-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0),1165,305M,768,8192,43.71,51.23,45.59
14,15,[bge-m3](https://huggingface.co/BAAI/bge-m3),2167,568M,1024,8194,42.8,70.38,49.7
15,16,[text-embedding-005](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),Unknown,Unknown,768,2048,44.65,0.24,33.55
16,17,[text-embedding-004](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),Unknown,Unknown,768,2048,45.95,0.23,34.52
17,18,[Cohere-embed-multilingual-v3.0](https://cohere.com/blog/introducing-embed-v3),Unknown,Unknown,512,Unknown,40.74,74.77,49.25
18,19,[Cohere-embed-v4.0 (output_dtype=binary)](https://docs.cohere.com/docs/embeddings),Unknown,Unknown,1536,128000,44.22,85.94,54.65
19,20,[bge-m3-unsupervised](https://huggingface.co/BAAI/bge-m3-unsupervised),2167,568M,1024,8192,41.62,82.94,51.95
20,21,[Cohere-embed-v4.0 (output_dtype=int8)](https://docs.cohere.com/docs/embeddings),Unknown,Unknown,1536,128000,43.29,88.17,54.51
21,22,[Cohere-embed-v4.0](https://docs.cohere.com/docs/cohere-embed),Unknown,Unknown,1536,128000,43.22,88.11,54.44
22,23,[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2),14975,7B,4096,32768,41.57,19.3,36.0
23,24,[Cohere-embed-english-v3.0](https://cohere.com/blog/introducing-embed-v3),Unknown,Unknown,1024,512,40.22,7.12,31.94
24,25,[voyage-law-2](https://blog.voyageai.com/2024/04/15/domain-specific-embeddings-and-retrieval-legal-edition-voyage-law-2/),Unknown,Unknown,1024,16000,53.01,,
25,26,[voyage-3](https://blog.voyageai.com/2024/09/18/voyage-3/),Unknown,Unknown,1024,32000,50.77,,
26,27,[bge-base-en-v1.5](https://huggingface.co/BAAI/bge-base-en-v1.5),390,109M,768,512,38.04,34.98,37.28
27,28,[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1),13483,7B,3584,32768,49.55,,
28,29,[gte-base-en-v1.5](https://huggingface.co/Alibaba-NLP/gte-base-en-v1.5),Unknown,137M,768,8192,40.34,30.41,37.86
29,30,[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral),13563,7B,4096,32768,49.23,,
30,31,[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral),13563,7B,4096,32768,48.4,,
31,31,[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R),13563,7B,4096,32768,49.12,,
32,33,[inf-retriever-v1-1.5b](https://huggingface.co/infly/inf-retriever-v1-1.5b),2944,1B,1536,32768,46.73,,
33,33,[bge-large-en-v1.5](https://huggingface.co/BAAI/bge-large-en-v1.5),1242,335M,1024,512,36.72,36.95,36.78
34,35,[jasper_en_vision_language_v1](https://huggingface.co/infgrad/jasper_en_vision_language_v1),3802,1B,8960,131072,46.1,,
35,36,[GritLM-8x7B](https://huggingface.co/GritLM/GritLM-8x7B),89079,57B,32768,32768,46.84,,
36,37,[SearchMap_Preview](https://huggingface.co/VPLabs/SearchMap_Preview),1660,435M,4096,8192,46.92,,
37,38,[bge-small-en-v1.5](https://huggingface.co/BAAI/bge-small-en-v1.5),127,33M,512,512,36.0,32.49,35.12
38,39,[mxbai-embed-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1),639,335M,1024,512,36.67,33.77,35.94
39,40,[bm25s](https://github.com/xhluca/bm25s),Unknown,Unknown,Unknown,Unknown,36.81,11.13,30.39
40,41,[voyage-3-lite](https://blog.voyageai.com/2024/09/18/voyage-3/),Unknown,Unknown,512,32000,44.87,,
41,41,[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct),6776,1B,8960,32768,44.81,,
42,43,[KaLM-embedding-multilingual-mini-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1),1885,494M,896,512,43.97,,
43,44,[bge-large-en](https://huggingface.co/BAAI/bge-large-en),1242,335M,1024,512,36.44,36.69,36.5
44,45,[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct),29040,7B,3584,32768,43.36,,
45,46,[KaLM-embedding-multilingual-mini-instruct-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1),1885,494M,896,512,45.14,,
46,47,[NV-Embed-v1](https://huggingface.co/nvidia/NV-Embed-v1),29945,7B,4096,32768,45.52,,
47,48,[stella_en_400M_v5](https://huggingface.co/NovaSearch/stella_en_400M_v5),1660,435M,4096,8192,42.72,,
48,49,[UAE-Large-V1](https://huggingface.co/WhereIsAI/UAE-Large-V1),1278,335M,1024,512,35.35,29.55,33.9
49,49,[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct),29449,7B,4096,32768,42.49,,
50,51,[bge-base-en](https://huggingface.co/BAAI/bge-base-en),390,109M,768,512,36.26,34.2,35.75
51,52,[Solon-embeddings-large-0.1](https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1),2136,559M,1024,514,40.99,,
52,53,[USER-bge-m3](https://huggingface.co/deepvk/USER-base),1370,359M,1024,8194,41.39,,
53,54,[GIST-large-Embedding-v0](https://huggingface.co/avsolatorio/GIST-large-Embedding-v0),1278,335M,1024,512,40.57,,
54,55,[nomic-embed-text-v1-unsupervised](https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised),Unknown,Unknown,768,8192,40.9,,
55,56,[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0),2166,568M,1024,8192,41.0,,
56,57,[jina-embeddings-v3](https://huggingface.co/jinaai/jina-embeddings-v3),1092,572M,1024,8194,42.24,,
57,58,[b1ade-embed](https://huggingface.co/w601sxs/b1ade-embed),1278,335M,1024,4096,39.65,,
58,58,[cadet-embed-base-v1](https://huggingface.co/manveertamber/cadet-embed-base-v1),418,109M,768,512,39.21,,
59,60,[gte-large](https://huggingface.co/thenlper/gte-large),639,335M,1024,512,39.12,,
60,61,[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large),2136,559M,1024,514,38.89,,
61,62,[snowflake-arctic-embed-m-v1.5](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v1.5),415,109M,768,512,39.49,,
62,63,[bilingual-embedding-small](https://huggingface.co/Lajavaness/bilingual-embedding-small),449,117M,384,512,38.7,,
63,64,[Cohere-embed-multilingual-light-v3.0](https://cohere.com/blog/introducing-embed-v3),Unknown,Unknown,384,512,39.14,,
64,64,[multilingual-e5-small](https://huggingface.co/intfloat/multilingual-e5-small),449,118M,384,512,32.74,75.94,43.54
65,66,[all-mpnet-base-v2](https://huggingface.co/sentence-transformers/all-mpnet-base-v2),418,109M,768,384,34.11,7.72,27.51
66,67,[Ivysaur](https://huggingface.co/Mihaiii/Ivysaur),87,22M,384,512,38.68,,
67,68,[paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2),1061,278M,768,512,32.16,56.49,38.25
68,69,[snowflake-arctic-embed-l](https://huggingface.co/Snowflake/snowflake-arctic-embed-l),1274,335M,1024,512,39.65,,
69,70,[snowflake-arctic-embed-m](https://huggingface.co/Snowflake/snowflake-arctic-embed-m),415,109M,768,512,39.29,,
70,71,[multi-qa-MiniLM-L6-cos-v1](https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1),87,22M,384,512,33.01,10.1,27.28
71,72,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised),27126,7B,4096,32768,38.68,,
72,73,[granite-embedding-125m-english](https://huggingface.co/ibm-granite/granite-embedding-125m-english),238,125M,768,512,39.38,,
73,73,[gte-base](https://huggingface.co/thenlper/gte-base),209,109M,768,512,37.91,,
74,75,[all-MiniLM-L6-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2),87,22M,384,256,33.08,3.49,25.68
75,76,[GIST-all-MiniLM-L6-v2](https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2),87,22M,384,512,38.51,,
