,Rank (Borda),Model,Memory Usage (MB),Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Public),Mean (Private),Mean (Task)
0,1,[voyage-3-large](https://blog.voyageai.com/2025/01/07/voyage-3-large/),Unknown,Unknown,1024,32000,68.2,77.07,72.63
1,2,[Qwen3-Embedding-8B](https://huggingface.co/Qwen/Qwen3-Embedding-8B),28866,7B,4096,32768,67.03,75.43,71.23
2,3,[gemini-embedding-001](https://ai.google.dev/gemini-api/docs/embeddings),Unknown,Unknown,3072,2048,66.55,75.4,70.97
3,4,[voyage-3.5 (output_dtype=int8)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),Unknown,Unknown,1024,32000,63.9,71.07,67.49
4,5,[Cohere-embed-v4.0 (output_dtype=int8)](https://docs.cohere.com/docs/embeddings),Unknown,Unknown,1536,128000,62.68,74.65,68.66
5,5,[Cohere-embed-v4.0](https://docs.cohere.com/docs/cohere-embed),Unknown,Unknown,1536,128000,62.6,74.86,68.73
6,7,[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B),13813,7B,4096,32768,64.15,70.76,67.46
7,8,[voyage-3.5](https://blog.voyageai.com/2025/05/20/voyage-3-5/),Unknown,Unknown,1024,32000,63.9,71.0,67.45
8,9,[text-embedding-3-large](https://openai.com/index/new-embedding-models-and-api-updates/),Unknown,Unknown,3072,8191,62.28,68.84,65.56
9,10,[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2),14975,7B,4096,32768,67.31,65.61,66.46
10,11,[jina-embeddings-v4](https://huggingface.co/jinaai/jina-embeddings-v4),7500,3B,2048,32768,58.66,70.22,64.44
11,12,[text-embedding-005](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),Unknown,Unknown,768,2048,60.65,68.64,64.64
12,13,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),13563,7B,4096,32768,61.23,66.31,63.77
13,14,[Cohere-embed-v4.0 (output_dtype=binary)](https://docs.cohere.com/docs/embeddings),Unknown,Unknown,1536,128000,57.9,70.61,64.25
14,15,[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base),582,305M,768,8192,57.56,66.84,62.2
15,16,[Cohere-embed-multilingual-v3.0](https://cohere.com/blog/introducing-embed-v3),Unknown,Unknown,512,Unknown,56.77,62.99,59.88
16,17,[bge-m3](https://huggingface.co/BAAI/bge-m3),2167,568M,1024,8194,54.96,63.83,59.4
17,18,[voyage-3.5 (output_dtype=binary)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),Unknown,Unknown,1024,32000,56.17,65.11,60.64
18,19,[text-embedding-3-small](https://openai.com/index/new-embedding-models-and-api-updates/),Unknown,Unknown,1536,8191,52.34,62.16,57.25
19,20,[bge-m3-unsupervised](https://huggingface.co/BAAI/bge-m3-unsupervised),2167,568M,1024,8192,46.74,59.37,53.05
20,21,[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct),1068,560M,1024,514,48.99,62.99,55.99
21,22,[Cohere-embed-english-v3.0](https://cohere.com/blog/introducing-embed-v3),Unknown,Unknown,1024,512,48.04,50.68,49.36
22,23,[mxbai-embed-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1),639,335M,1024,512,46.94,42.41,44.67
23,24,[UAE-Large-V1](https://huggingface.co/WhereIsAI/UAE-Large-V1),1278,335M,1024,512,46.75,43.18,44.96
24,25,[bge-large-en-v1.5](https://huggingface.co/BAAI/bge-large-en-v1.5),1242,335M,1024,512,46.06,44.38,45.22
25,26,[bge-large-en](https://huggingface.co/BAAI/bge-large-en),1242,335M,1024,512,45.83,44.02,44.93
26,27,[multilingual-e5-small](https://huggingface.co/intfloat/multilingual-e5-small),449,118M,384,512,42.44,50.42,46.43
27,28,[bge-base-en-v1.5](https://huggingface.co/BAAI/bge-base-en-v1.5),390,109M,768,512,43.6,42.45,43.03
28,29,[gte-base-en-v1.5](https://huggingface.co/Alibaba-NLP/gte-base-en-v1.5),Unknown,137M,768,8192,42.35,43.24,42.8
29,30,[bge-base-en](https://huggingface.co/BAAI/bge-base-en),390,109M,768,512,41.98,41.78,41.88
30,31,[paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2),1061,278M,768,512,30.62,39.65,35.13
31,32,[bm25s](https://github.com/xhluca/bm25s),Unknown,Unknown,Unknown,Unknown,22.73,53.0,37.86
32,32,[bge-small-en-v1.5](https://huggingface.co/BAAI/bge-small-en-v1.5),127,33M,512,512,39.23,40.44,39.84
33,34,[text-embedding-004](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),Unknown,Unknown,768,2048,,70.82,
34,35,[paraphrase-multilingual-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2),449,118M,768,512,28.86,37.33,33.09
35,36,[all-mpnet-base-v2](https://huggingface.co/sentence-transformers/all-mpnet-base-v2),418,109M,768,384,37.73,35.93,36.83
36,37,[jina-embeddings-v2-small-en](https://huggingface.co/jinaai/jina-embeddings-v2-small-en),62,32M,512,8192,32.45,31.09,31.77
37,38,[all-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2),127,33M,384,256,35.76,34.66,35.21
38,39,[all-MiniLM-L6-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2),87,22M,384,256,34.74,33.45,34.1
39,40,[multi-qa-MiniLM-L6-cos-v1](https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1),87,22M,384,512,32.05,34.29,33.17
40,41,[snowflake-arctic-embed-m-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0),1165,305M,768,8192,,64.32,
41,42,[static-similarity-mrl-multilingual-v1](https://huggingface.co/sentence-transformers/static-similarity-mrl-multilingual-v1),413,108M,1024,Unknown,17.47,33.22,25.35
42,43,[text2vec-base-multilingual](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase),449,117M,384,256,20.99,27.14,24.07
43,44,[potion-multilingual-128M](https://huggingface.co/minishlab/potion-multilingual-128M),489,128M,256,Infinite,14.87,28.38,21.62
44,45,[LaBSE](https://huggingface.co/sentence-transformers/LaBSE),1796,471M,768,512,13.77,31.47,22.62
45,46,[bge-large-zh-v1.5](https://huggingface.co/BAAI/bge-large-zh-v1.5),1278,335M,1024,512,15.04,24.16,19.6
46,47,[jina-embeddings-v2-base-en](https://huggingface.co/jinaai/jina-embeddings-v2-base-en),262,137M,768,8192,27.25,38.45,32.85
47,48,[bge-base-zh-v1.5](https://huggingface.co/BAAI/bge-base-zh-v1.5),416,109M,768,512,13.57,24.14,18.85
48,49,[potion-base-8M](https://huggingface.co/minishlab/potion-base-8M),29,7M,256,Infinite,13.79,22.88,18.33
49,50,[potion-base-4M](https://huggingface.co/minishlab/potion-base-4M),14,3M,128,Infinite,12.0,20.94,16.47
50,51,[M2V_base_glove_subword](https://huggingface.co/minishlab/M2V_base_glove_subword),391,103M,256,Infinite,8.96,22.51,15.73
51,52,[M2V_base_glove](https://huggingface.co/minishlab/M2V_base_glove),391,102M,256,Infinite,9.9,21.33,15.62
52,53,[M2V_multilingual_output](https://huggingface.co/minishlab/M2V_multilingual_output),489,128M,256,Infinite,7.21,17.4,12.3
53,54,[M2V_base_output](https://huggingface.co/minishlab/M2V_base_output),29,7M,256,Infinite,8.39,19.96,14.18
54,55,[mdbr-leaf-ir](https://huggingface.co/MongoDB/mdbr-leaf-ir),86,22M,768,512,41.16,,
55,56,[potion-base-2M](https://huggingface.co/minishlab/potion-base-2M),7,2M,64,Infinite,8.89,17.26,13.08
56,57,[bge-small-zh-v1.5](https://huggingface.co/BAAI/bge-small-zh-v1.5),91,33M,512,512,7.07,17.2,12.13
57,58,[text2vec-base-chinese](https://huggingface.co/shibing624/text2vec-base-chinese),390,102M,768,512,4.14,8.92,6.53
58,59,[mdbr-leaf-mt](https://huggingface.co/MongoDB/mdbr-leaf-mt),86,22M,1024,512,39.3,,
59,60,[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0),2166,568M,1024,8192,,,
60,61,[multilingual-e5-large](https://huggingface.co/intfloat/multilingual-e5-large),2136,560M,1024,514,54.25,,
61,62,[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral),13563,7B,4096,32768,,,
62,63,[GritLM-8x7B](https://huggingface.co/GritLM/GritLM-8x7B),89079,57B,32768,32768,,,
63,64,[NV-Embed-v1](https://huggingface.co/nvidia/NV-Embed-v1),29945,7B,4096,32768,,,
64,65,[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral),13563,7B,4096,32768,,,
65,66,[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1),13483,7B,3584,32768,,,
66,67,[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct),6776,1B,8960,32768,,,
67,68,[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R),13563,7B,4096,32768,,,
68,69,[jasper_en_vision_language_v1](https://huggingface.co/infgrad/jasper_en_vision_language_v1),3802,1B,8960,131072,,,
69,70,[voyage-multilingual-2](https://blog.voyageai.com/2024/06/10/voyage-multilingual-2-multilingual-embedding-model/),Unknown,Unknown,1024,32000,,,
70,71,[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct),29040,7B,3584,32768,,,
71,72,[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5),5887,1B,8960,131072,,,
72,73,[USER-bge-m3](https://huggingface.co/deepvk/USER-base),1370,359M,1024,8194,,,
73,74,[voyage-3](https://blog.voyageai.com/2024/09/18/voyage-3/),Unknown,Unknown,1024,32000,,,
74,75,[inf-retriever-v1-1.5b](https://huggingface.co/infly/inf-retriever-v1-1.5b),2944,1B,1536,32768,,,
75,76,[jina-embeddings-v3](https://huggingface.co/jinaai/jina-embeddings-v3),1092,572M,1024,8194,,,
76,77,[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct),29449,7B,4096,32768,,,
77,78,[text-multilingual-embedding-002](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),Unknown,Unknown,768,2048,,,
78,79,[Cohere-embed-multilingual-light-v3.0](https://cohere.com/blog/introducing-embed-v3),Unknown,Unknown,384,512,,,
79,80,[multilingual-e5-base](https://huggingface.co/intfloat/multilingual-e5-base),1061,278M,768,514,,,
80,81,[KaLM-embedding-multilingual-mini-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1),1885,494M,896,512,,,
81,82,[bge-m3-custom-fr](https://huggingface.co/manu/bge-m3-custom-fr),2166,567M,1024,8194,,,
82,83,[Solon-embeddings-large-0.1](https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1),2136,559M,1024,514,,,
83,84,[granite-embedding-278m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-278m-multilingual),530,278M,768,512,,,
84,85,[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large),2136,559M,1024,514,,,
85,86,[bilingual-embedding-base](https://huggingface.co/Lajavaness/bilingual-embedding-base),1061,278M,768,514,,,
86,87,[snowflake-arctic-embed-l](https://huggingface.co/Snowflake/snowflake-arctic-embed-l),1274,335M,1024,512,,,
87,88,[granite-embedding-107m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-107m-multilingual),204,107M,384,512,,,
88,89,[e5-large](https://huggingface.co/intfloat/e5-large),1278,335M,1024,512,,,
89,90,[voyage-3-lite](https://blog.voyageai.com/2024/09/18/voyage-3/),Unknown,Unknown,512,32000,,,
90,91,[voyage-large-2-instruct](https://blog.voyageai.com/2024/05/05/voyage-large-2-instruct-instruction-tuned-and-rank-1-on-mteb/),Unknown,Unknown,1024,16000,,,
91,92,[e5-large-v2](https://huggingface.co/intfloat/e5-large-v2),1278,335M,1024,514,,,
92,93,[snowflake-arctic-embed-m](https://huggingface.co/Snowflake/snowflake-arctic-embed-m),415,109M,768,512,,,
93,94,[snowflake-arctic-embed-m-long](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-long),522,137M,768,2048,,,
94,95,[snowflake-arctic-embed-m-v1.5](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v1.5),415,109M,768,512,,,
95,96,[e5-base](https://huggingface.co/intfloat/e5-base),418,109M,768,512,,,
96,97,[KaLM-embedding-multilingual-mini-instruct-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1),1885,494M,896,512,,,
97,98,[b1ade-embed](https://huggingface.co/w601sxs/b1ade-embed),1278,335M,1024,4096,,,
98,99,[gte-large](https://huggingface.co/thenlper/gte-large),639,335M,1024,512,,,
99,100,[e5-base-v2](https://huggingface.co/intfloat/e5-base-v2),418,109M,768,512,,,
100,101,[nomic-embed-text-v1-ablated](https://huggingface.co/nomic-ai/nomic-embed-text-v1-ablated),Unknown,Unknown,768,8192,,,
101,102,[Cohere-embed-english-light-v3.0](https://cohere.com/blog/introducing-embed-v3),Unknown,Unknown,384,512,,,
102,103,[bilingual-embedding-small](https://huggingface.co/Lajavaness/bilingual-embedding-small),449,117M,384,512,,,
103,104,[snowflake-arctic-embed-s](https://huggingface.co/Snowflake/snowflake-arctic-embed-s),127,32M,384,512,,,
104,105,[stella_en_400M_v5](https://huggingface.co/NovaSearch/stella_en_400M_v5),1660,435M,4096,8192,,,
105,106,[gte-base](https://huggingface.co/thenlper/gte-base),209,109M,768,512,,,
106,107,[e5-small](https://huggingface.co/intfloat/e5-small),127,33M,384,512,,,
107,108,[Arabic-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka),1061,278M,768,514,,,
108,109,[GIST-large-Embedding-v0](https://huggingface.co/avsolatorio/GIST-large-Embedding-v0),1278,335M,1024,512,,,
109,110,[sentence_croissant_alpha_v0.4](https://huggingface.co/manu/sentence_croissant_alpha_v0.4),2441,1B,2048,2048,,,
110,111,[granite-embedding-125m-english](https://huggingface.co/ibm-granite/granite-embedding-125m-english),238,125M,768,512,,,
111,112,[sentence_croissant_alpha_v0.3](https://huggingface.co/manu/sentence_croissant_alpha_v0.3),2441,1B,2048,2048,,,
112,113,[jina-embedding-b-en-v1](https://huggingface.co/jinaai/jina-embedding-b-en-v1),420,110M,768,512,,,
113,114,[nomic-embed-text-v1-unsupervised](https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised),Unknown,Unknown,768,8192,,,
114,115,[e5-small-v2](https://huggingface.co/intfloat/e5-small-v2),127,33M,384,512,,,
115,116,[GIST-Embedding-v0](https://huggingface.co/avsolatorio/GIST-Embedding-v0),418,109M,768,512,,,
116,117,[nomic-embed-text-v1](https://huggingface.co/nomic-ai/nomic-embed-text-v1),522,Unknown,768,8192,,,
117,118,[stella-base-en-v2](https://huggingface.co/infgrad/stella-base-en-v2),Unknown,Unknown,Unknown,512,,,
118,119,[sentence_croissant_alpha_v0.2](https://huggingface.co/manu/sentence_croissant_alpha_v0.2),2441,1B,2048,2048,,,
119,120,[MedEmbed-small-v0.1](https://huggingface.co/abhinand/MedEmbed-small-v0.1),127,33M,384,512,,,
120,121,[e5-base-4k](https://huggingface.co/dwzhu/e5-base-4k),Unknown,Unknown,Unknown,4096,,,
121,122,[gte-small](https://huggingface.co/thenlper/gte-small),64,33M,384,512,,,
122,123,[snowflake-arctic-embed-xs](https://huggingface.co/Snowflake/snowflake-arctic-embed-xs),86,22M,384,512,,,
123,124,[nomic-embed-text-v1.5](https://huggingface.co/nomic-ai/nomic-embed-text-v1.5),522,137M,768,8192,,,
124,125,[granite-embedding-30m-english](https://huggingface.co/ibm-granite/granite-embedding-30m-english),58,30M,384,512,,,
125,126,[Arabic-MiniLM-L12-v2-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet),449,117M,384,512,,,
126,127,[NoInstruct-small-Embedding-v0](https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0),127,33M,384,512,,,
127,128,[Arabic-labse-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-labse-Matryoshka),1796,470M,768,512,,,
128,129,[LaBSE-ru-turbo](https://huggingface.co/sergeyzh/LaBSE-ru-turbo),490,129M,768,512,,,
129,130,[GIST-small-Embedding-v0](https://huggingface.co/avsolatorio/GIST-small-Embedding-v0),127,33M,384,512,,,
130,131,[STS-multilingual-mpnet-base-v2](https://huggingface.co/Gameselo/STS-multilingual-mpnet-base-v2),1061,278M,768,514,,,
