,Rank (Borda),Model,Memory Usage (MB),Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Public),Mean (Private),Mean (Task)
0,1,[voyage-3-large](https://blog.voyageai.com/2025/01/07/voyage-3-large/),Unknown,Unknown,1024,32000,82.52,89.72,84.32
1,2,[gemini-embedding-001](https://ai.google.dev/gemini-api/docs/embeddings),Unknown,Unknown,3072,2048,80.61,90.62,83.11
2,3,[voyage-3.5](https://blog.voyageai.com/2025/05/20/voyage-3-5/),Unknown,Unknown,1024,32000,79.14,86.86,81.07
3,3,[voyage-3.5 (output_dtype=int8)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),Unknown,Unknown,1024,32000,79.24,86.82,81.13
4,5,[Qwen3-Embedding-8B](https://huggingface.co/Qwen/Qwen3-Embedding-8B),28866,7B,4096,32768,79.64,86.28,81.3
5,6,[Cohere-embed-v4.0 (output_dtype=int8)](https://docs.cohere.com/docs/embeddings),Unknown,Unknown,1536,128000,71.65,87.43,75.59
6,7,[Cohere-embed-v4.0](https://docs.cohere.com/docs/cohere-embed),Unknown,Unknown,1536,128000,71.64,87.36,75.57
7,8,[voyage-3.5 (output_dtype=binary)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),Unknown,Unknown,1024,32000,75.37,83.94,77.51
8,9,[Cohere-embed-v4.0 (output_dtype=binary)](https://docs.cohere.com/docs/embeddings),Unknown,Unknown,1536,128000,68.82,85.53,73.0
9,10,[jina-embeddings-v4](https://huggingface.co/jinaai/jina-embeddings-v4),7500,3B,2048,32768,75.51,83.64,77.55
10,11,[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B),13813,7B,4096,32768,67.34,84.84,71.72
11,12,[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2),14975,7B,4096,32768,63.53,86.0,69.15
12,13,[text-embedding-3-large](https://openai.com/index/new-embedding-models-and-api-updates/),Unknown,Unknown,3072,8191,63.77,83.84,68.79
13,14,[text-embedding-005](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),Unknown,Unknown,768,2048,74.08,58.36,70.15
14,15,[Cohere-embed-multilingual-v3.0](https://cohere.com/blog/introducing-embed-v3),Unknown,Unknown,512,Unknown,59.27,75.49,63.33
15,16,[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct),1068,560M,1024,514,60.41,79.38,65.15
16,17,[text-embedding-004](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),Unknown,Unknown,768,2048,59.44,64.05,60.59
17,18,[text-embedding-3-small](https://openai.com/index/new-embedding-models-and-api-updates/),Unknown,Unknown,1536,8191,56.66,75.01,61.25
18,19,[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base),582,305M,768,8192,53.72,72.86,58.5
